序号,日期,时间,稳定值(Ω),单位,量程
1,2026-08-14,16:34:00,0.410840,Ω,R3
2,2026-08-14,16:34:10,0.387320,Ω,R3
3,2026-08-14,16:36:58,0.579000,0.374200,0.405838,Ω,R3
4,2026-08-14,16:37:04,1.867800,0.381700,0.518355,Ω,R3
5,2026-08-14,16:37:12,0.543800,0.377200,0.390215,Ω,R3
6,2026-08-14,16:37:19,0.413900,0.377300,0.397005,Ω,R3
7,2026-08-14,16:37:24,1.008700,0.381200,0.477875,Ω,R3
8,2026-08-14,16:38:30,0.384600,Ω,R3
9,2026-08-14,16:38:36,0.378100,Ω,R3
10,2026-08-14,16:38:45,0.377600,Ω,R3
11,2026-08-14,16:40:58,0.392800,Ω,R3
12,2026-08-14,16:41:04,0.409200,Ω,R3
13,2026-08-14,16:41:12,0.384400,Ω,R3
14,2026-08-14,16:41:18,0.386600,Ω,R3
15,2026-08-14,16:41:24,0.383300,Ω,R3
16,2026-08-14,16:42:12,0.374500,Ω,R3
17,2026-08-14,16:42:19,0.374700,Ω,R3
18,2026-08-14,16:42:34,0.383200,Ω,R3
19,2026-08-14,16:42:41,0.378700,Ω,R3
20,2026-08-14,16:42:48,0.393800,Ω,R3
21,2026-08-14,16:42:55,0.392700,Ω,R3
22,2026-08-14,16:43:03,0.473600,Ω,R3
23,2026-08-14,16:43:11,0.387600,Ω,R3
24,2026-08-14,16:43:19,0.375300,Ω,R3
25,2026-08-14,16:43:26,0.372700,Ω,R3
26,2026-08-14,16:43:32,0.376800,Ω,R3
27,2026-08-14,16:43:39,0.395500,Ω,R3
28,2026-08-14,16:43:46,0.376600,Ω,R3
29,2026-08-14,16:43:52,0.400500,Ω,R3
30,2026-08-14,16:44:04,0.384900,Ω,R3
31,2026-08-14,16:44:11,0.376700,Ω,R3
32,2026-08-14,16:44:18,0.454500,Ω,R3
33,2026-08-14,16:44:27,0.415700,Ω,R3
34,2026-08-14,16:44:35,0.393400,Ω,R3
35,2026-08-14,16:44:43,0.402400,Ω,R3
36,2026-08-14,16:44:57,0.394000,Ω,R3
37,2026-08-14,16:45:03,0.379100,Ω,R3
38,2026-08-14,16:45:10,0.457000,Ω,R3
39,2026-08-14,16:45:17,0.386800,Ω,R3
40,2026-08-14,16:45:24,0.423700,Ω,R3
41,2026-08-14,16:45:34,0.421000,Ω,R3
42,2026-08-14,16:45:42,0.379800,Ω,R3
43,2026-08-14,16:45:49,0.406500,Ω,R3
44,2026-08-14,16:45:57,0.390400,Ω,R3
45,2026-08-14,16:46:05,0.397000,Ω,R3
46,2026-08-14,16:46:11,0.390700,Ω,R3
47,2026-08-14,16:46:17,0.381800,Ω,R3
48,2026-08-14,16:46:22,0.394000,Ω,R3
49,2026-08-14,16:46:28,0.395000,Ω,R3
50,2026-08-14,16:46:35,0.386100,Ω,R3
51,2026-08-14,16:46:40,0.396400,Ω,R3
52,2026-08-14,16:46:50,0.396500,Ω,R3
53,2026-08-14,16:46:57,0.382300,Ω,R3
54,2026-08-14,16:47:03,0.400900,Ω,R3
55,2026-08-14,16:47:14,0.407600,Ω,R3
56,2026-08-14,16:47:24,0.412800,Ω,R3
57,2026-08-14,16:47:34,0.392400,Ω,R3
58,2026-08-14,16:47:41,0.389800,Ω,R3
59,2026-08-14,16:47:47,0.392600,Ω,R3
60,2026-08-14,16:47:54,0.387600,Ω,R3
61,2026-08-14,16:47:59,0.391100,Ω,R3
62,2026-08-14,16:48:07,0.404300,Ω,R3
63,2026-08-14,16:48:14,0.382700,Ω,R3
64,2026-08-14,16:48:21,0.384100,Ω,R3
65,2026-08-14,16:48:27,0.380500,Ω,R3
66,2026-08-14,16:48:34,0.397300,Ω,R3
67,2026-08-14,16:48:53,0.416000,Ω,R3
68,2026-08-14,16:48:59,0.406600,Ω,R3
