产品型号,总数量,抽检数量,不良数,不良率
LMT0210-ZJX,3000.0,300.0,16.0,5.333333333333334
LMT0320-USB,9000.0,830.0,5.0,0.6024096385542169
FOX963W-12V-VV-NLi,1200.0,275.0,4.0,1.4545454545454546
LMT0250-USB,6500.0,575.0,4.0,0.6956521739130435
SEN617W-C210U-Typec,2400.0,400.0,3.0,0.75
FOX983W-12V-VV-NLi,1169.0,225.0,2.0,0.8888888888888888
LMT830C-DORA,900.0,192.0,2.0,1.0416666666666665
LMT960C六口主机,4100.0,740.0,2.0,0.2702702702702703
DS602W-C220-Dual-TypecL-1,1399.0,300.0,2.0,0.6666666666666667
SEN615W-C230-Typec-OP,4800.0,800.0,2.0,0.25
LMT0240-LXH,2000.0,300.0,1.0,0.33333333333333337
LMT830C-GT3散装发货,6000.0,1500.0,1.0,0.06666666666666667
SEN602W-C120,1000.0,160.0,1.0,0.625
VV510W-C172-Typec,6500.0,1000.0,1.0,0.1
SEN863W-Typec-OP_YH1,2100.0,350.0,1.0,0.2857142857142857
LMT606C四口转接器,900.0,155.0,1.0,0.6451612903225806
FOX983W-12V-VV-Nli,469.0,70.0,1.0,1.4285714285714286
ARK531W-iwatch,50.0,50.0,1.0,2.0
DS602W-C220-Dual-Typec-1,1092.0,280.0,1.0,0.35714285714285715
DW830C-Alpha_V1,800.0,160.0,0.0,0.0
DW830C-Alpha_V1上托头子,1900.0,800.0,0.0,0.0
DW830C-DORA,900.0,280.0,0.0,0.0
DW830C-Es_V2,2000.0,400.0,0.0,0.0
DW830C-GT3_V4-F,6000.0,1200.0,0.0,0.0
DW830C-GT3_V4-F-23DC,1200.0,240.0,0.0,0.0
DW950C-DJI,1000.0,200.0,0.0,0.0
DK200W-VV,2400.0,563.0,0.0,0.0
D980W-OP,900.0,175.0,0.0,0.0
DS514W-C120-Typec,300.0,70.0,0.0,0.0
DS511W-C200-Typec,1800.0,300.0,0.0,0.0
DS602W-C150_V1,800.0,160.0,0.0,0.0
DW430C-GT3前加工,4800.0,960.0,0.0,0.0
DW430CA_V1前加工,4000.0,800.0,0.0,0.0
DW805C-F,800.0,140.0,0.0,0.0
DW820C-B6_V1,270.0,50.0,0.0,0.0
5.3V 3A带线（A0500364),2400.0,400.0,0.0,0.0
5.3V 3A带线（A0500363),1800.0,300.0,0.0,0.0
5C-MFPC,1000.0,130.0,0.0,0.0
D910W-YJ,240.0,50.0,0.0,0.0
D920W-OP,900.0,180.0,0.0,0.0
5.3V 3A带线（A0500376),600.0,100.0,0.0,0.0
5.3V 3A带线（A0500362),1800.0,300.0,0.0,0.0
FOX941W_V1,2408.0,390.0,0.0,0.0
FOX941W-A_V2,300.0,50.0,0.0,0.0
FOX730W,600.0,100.0,0.0,0.0
DWS612C-C100-Typec,500.0,100.0,0.0,0.0
DWS550C-C100,300.0,60.0,0.0,0.0
DWS548C-C100-Typec,4300.0,830.0,0.0,0.0
DWS545C-C100-Typec,1700.0,300.0,0.0,0.0
DWS534C-C100-W4_Vpro_V1,1000.0,280.0,0.0,0.0
DWS533C-C100-22V_V1,1000.0,260.0,0.0,0.0
DWS533C-C100-18J_V1,1000.0,260.0,0.0,0.0
DWS530C-C180-Molly,1000.0,220.0,0.0,0.0
DWS530C-C100,7800.0,1840.0,0.0,0.0
DWS520C-C110-Typec,228.0,60.0,0.0,0.0
DWS512C-C100-Typec,1000.0,200.0,0.0,0.0
DW950C_V2,7800.0,1481.0,0.0,0.0
DW950C-F,3000.0,580.0,0.0,0.0
LMT830C-GT3,300.0,60.0,0.0,0.0
LMT606C六口转接器,50.0,30.0,0.0,0.0
LMT911C单口主机,700.0,200.0,0.0,0.0
LMTS503C-C90,12400.0,2480.0,0.0,0.0
LMTS530C,9500.0,1900.0,0.0,0.0
MAX121W-H1,1200.0,240.0,0.0,0.0
MAX715S_V3,196.0,40.0,0.0,0.0
MAX801S_V3,500.0,90.0,0.0,0.0
MAX830S_V3,300.0,50.0,0.0,0.0
MAX841S_V3,100.0,40.0,0.0,0.0
MOD700W_V2,800.0,80.0,0.0,0.0
LMT002C,5500.0,2010.0,0.0,0.0
LMT0110-LXH,2000.0,200.0,0.0,0.0
LMT606C三口转接器,2700.0,586.0,0.0,0.0
FOX943W-12V-VV-Nli,200.0,80.0,0.0,0.0
FOX943W-12V-VV-NLi,500.0,83.0,0.0,0.0
OP432S-T前加工,400.0,60.0,0.0,0.0
OP432S-T,400.0,80.0,0.0,0.0
MOD703W_V2-DB,300.0,50.0,0.0,0.0
MOD703W_V2,600.0,110.0,0.0,0.0
MOD700W_V2-DB,400.0,60.0,0.0,0.0
OP433S-T,400.0,80.0,0.0,0.0
OP615W-C230-Typec_V1,1000.0,100.0,0.0,0.0
OP433S-T前加工,800.0,120.0,0.0,0.0
OPP965UB,1300.0,240.0,0.0,0.0
OPP985W-5V-OP-NLi,2100.0,350.0,0.0,0.0
PMM5015W,2800.0,700.0,0.0,0.0
SEN601W-C180,1000.0,160.0,0.0,0.0
OPP530W,1000.0,200.0,0.0,0.0
OPP704S,300.0,50.0,0.0,0.0
OPP961W-5V,200.0,50.0,0.0,0.0
OPP121W,1200.0,240.0,0.0,0.0
SEN610W-C220-Typec,1200.0,200.0,0.0,0.0
SEN605B-C180,1200.0,200.0,0.0,0.0
SEN604W-C180_V1,800.0,160.0,0.0,0.0
SEN603W-C180_V2-Typec,660.0,100.0,0.0,0.0
SEN700G-HS70,500.0,80.0,0.0,0.0
SEN710W-C120_V1,800.0,160.0,0.0,0.0
SEN620B-C180,800.0,160.0,0.0,0.0
SEN620W-C180,400.0,80.0,0.0,0.0
SEN863W-T-CY_V1,300.0,50.0,0.0,0.0
SEN863G-T-VV,100.0,40.0,0.0,0.0
SEN863W-Typec-VV,300.0,50.0,0.0,0.0
SEN863W-Typec-CY_V1,600.0,100.0,0.0,0.0
SEN863W前加工,2400.0,480.0,0.0,0.0
VV004W,1200.0,240.0,0.0,0.0
VV400C,1500.0,300.0,0.0,0.0
VV510W-S85-USB,4700.0,700.0,0.0,0.0
